"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 12 03:31:03 BRT 2022","Wed Oct 12 03:31:03 BRT 2022","249","Traversal","","","","",".next() - get next sibling DOM element",""
"passed","Wed Oct 12 03:27:17 BRT 2022","Wed Oct 12 03:27:25 BRT 2022","8302","Actions","","","","",".click() - click on a DOM element",""
"passed","Wed Oct 12 03:31:04 BRT 2022","Wed Oct 12 03:31:04 BRT 2022","280","Traversal","","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Wed Oct 12 03:27:12 BRT 2022","Wed Oct 12 03:27:13 BRT 2022","1247","Actions","","","","",".focus() - focus on a DOM element",""
"passed","Wed Oct 12 03:31:04 BRT 2022","Wed Oct 12 03:31:04 BRT 2022","286","Traversal","","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Wed Oct 12 03:29:49 BRT 2022","Wed Oct 12 03:29:51 BRT 2022","1367","Navigation","","","","","cy.visit() - visit a remote url",""
"passed","Wed Oct 12 03:28:14 BRT 2022","Wed Oct 12 03:28:15 BRT 2022","772","Connectors","","","","",".each() - iterate over an array of elements",""
"passed","Wed Oct 12 03:27:27 BRT 2022","Wed Oct 12 03:27:29 BRT 2022","1821","Actions","","","","",".check() - check a checkbox or radio element",""
"passed","Wed Oct 12 03:28:15 BRT 2022","Wed Oct 12 03:28:15 BRT 2022","413","Connectors","","","","",".its() - get properties on the current subject",""
"passed","Wed Oct 12 03:28:51 BRT 2022","Wed Oct 12 03:28:52 BRT 2022","820","Files","","","","","cy.readFile() - read file contents",""
"passed","Wed Oct 12 03:27:34 BRT 2022","Wed Oct 12 03:27:35 BRT 2022","925","Actions","","","","",".trigger() - trigger an event on a DOM element",""
"passed","Wed Oct 12 03:29:26 BRT 2022","Wed Oct 12 03:29:27 BRT 2022","214","Misc","","","","","cy.wrap() - wrap an object",""
"passed","Wed Oct 12 03:31:02 BRT 2022","Wed Oct 12 03:31:02 BRT 2022","591","Traversal","","","","",".first() - get first DOM element",""
"passed","Wed Oct 12 03:31:06 BRT 2022","Wed Oct 12 03:31:07 BRT 2022","684","Traversal","","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Wed Oct 12 03:31:04 BRT 2022","Wed Oct 12 03:31:04 BRT 2022","327","Traversal","","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Wed Oct 12 03:28:39 BRT 2022","Wed Oct 12 03:28:39 BRT 2022","459","Cypress.config()","","","","","Get and set configuration options",""
"passed","Wed Oct 12 03:30:13 BRT 2022","Wed Oct 12 03:30:14 BRT 2022","952","Network Requests","","","","","cy.request() - save response in the shared test context",""
"passed","Wed Oct 12 03:27:25 BRT 2022","Wed Oct 12 03:27:26 BRT 2022","929","Actions","","","","",".dblclick() - double click on a DOM element",""
"passed","Wed Oct 12 03:29:13 BRT 2022","Wed Oct 12 03:29:13 BRT 2022","247","Location","","","","","cy.location() - get window.location",""
"passed","Wed Oct 12 03:28:15 BRT 2022","Wed Oct 12 03:28:16 BRT 2022","213","Connectors","","","","",".spread() - spread an array as individual args to callback function",""
"passed","Wed Oct 12 03:30:46 BRT 2022","Wed Oct 12 03:30:48 BRT 2022","2527","Spies, Stubs, and Clock","","","","","cy.spy() retries until assertions pass",""
"passed","Wed Oct 12 03:32:01 BRT 2022","Wed Oct 12 03:32:09 BRT 2022","7636","Waiting","","","","","cy.wait() - wait for a specific amount of time",""
"passed","Wed Oct 12 03:32:51 BRT 2022","Wed Oct 12 03:32:56 BRT 2022","5091","should be test correctly","","","","","should be insert data",""
"passed","Wed Oct 12 03:27:03 BRT 2022","Wed Oct 12 03:27:12 BRT 2022","9001","Actions","","","","",".type() - type into a DOM element",""
"passed","Wed Oct 12 03:30:12 BRT 2022","Wed Oct 12 03:30:13 BRT 2022","1634","Network Requests","","","","","cy.request() - pass result to the second request",""
"passed","Wed Oct 12 03:27:16 BRT 2022","Wed Oct 12 03:27:17 BRT 2022","909","Actions","","","","",".submit() - submit a form",""
"passed","Wed Oct 12 03:28:03 BRT 2022","Wed Oct 12 03:28:03 BRT 2022","257","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Wed Oct 12 03:31:01 BRT 2022","Wed Oct 12 03:31:01 BRT 2022","274","Traversal","","","","",".eq() - get a DOM element at a specific index",""
"passed","Wed Oct 12 03:30:45 BRT 2022","Wed Oct 12 03:30:46 BRT 2022","810","Spies, Stubs, and Clock","","","","","cy.spy() - wrap a method in a spy",""
"passed","Wed Oct 12 03:28:26 BRT 2022","Wed Oct 12 03:28:26 BRT 2022","740","Cookies","","","","","cy.getCookie() - get a browser cookie",""
"passed","Wed Oct 12 03:27:26 BRT 2022","Wed Oct 12 03:27:27 BRT 2022","570","Actions","","","","",".rightclick() - right click on a DOM element",""
"passed","Wed Oct 12 03:28:01 BRT 2022","Wed Oct 12 03:28:02 BRT 2022","643","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Wed Oct 12 03:30:49 BRT 2022","Wed Oct 12 03:30:49 BRT 2022","511","Spies, Stubs, and Clock","","","","","cy.tick() - move time in the browser",""
"passed","Wed Oct 12 03:28:38 BRT 2022","Wed Oct 12 03:28:38 BRT 2022","318","Cypress.Cookies","","","","",".preserveOnce() - preserve cookies by key",""
"failed","Wed Oct 12 03:29:24 BRT 2022","Wed Oct 12 03:29:25 BRT 2022","1327","Misc","","","","","cy.exec() - execute a system command",""
"passed","Wed Oct 12 03:28:17 BRT 2022","Wed Oct 12 03:28:17 BRT 2022","208","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Wed Oct 12 03:31:05 BRT 2022","Wed Oct 12 03:31:05 BRT 2022","269","Traversal","","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Wed Oct 12 03:30:33 BRT 2022","Wed Oct 12 03:30:34 BRT 2022","416","Querying","","","","","cy.contains() - query DOM elements with matching content",""
"passed","Wed Oct 12 03:30:09 BRT 2022","Wed Oct 12 03:30:11 BRT 2022","1422","Network Requests","","","","","cy.request() - verify response using BDD syntax",""
"passed","Wed Oct 12 03:27:49 BRT 2022","Wed Oct 12 03:27:51 BRT 2022","1582","Aliasing","","","","",".as() - alias a route for later use",""
"passed","Wed Oct 12 03:27:33 BRT 2022","Wed Oct 12 03:27:34 BRT 2022","425","Actions","","","","",".scrollIntoView() - scroll an element into view",""
"passed","Wed Oct 12 03:27:15 BRT 2022","Wed Oct 12 03:27:16 BRT 2022","1449","Actions","","","","",".clear() - clears an input or textarea element",""
"passed","Wed Oct 12 03:32:56 BRT 2022","Wed Oct 12 03:32:58 BRT 2022","1975","should be test correctly","","","","","should be delete data",""
"passed","Wed Oct 12 03:30:11 BRT 2022","Wed Oct 12 03:30:11 BRT 2022","681","Network Requests","","","","","cy.request() with query parameters",""
"passed","Wed Oct 12 03:28:27 BRT 2022","Wed Oct 12 03:28:28 BRT 2022","442","Cookies","","","","","cy.setCookie() - set a browser cookie",""
"passed","Wed Oct 12 03:31:27 BRT 2022","Wed Oct 12 03:31:28 BRT 2022","1308","Utilities","","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Wed Oct 12 03:27:48 BRT 2022","Wed Oct 12 03:27:49 BRT 2022","1167","Aliasing","","","","",".as() - alias a DOM element for later use",""
"passed","Wed Oct 12 03:29:02 BRT 2022","Wed Oct 12 03:29:04 BRT 2022","1807","Local Storage","","","","","cy.clearLocalStorage() - clear all data in local storage",""
"passed","Wed Oct 12 03:28:51 BRT 2022","Wed Oct 12 03:28:51 BRT 2022","830","Files","","","","","cy.fixture() or require - load a fixture",""
"passed","Wed Oct 12 03:27:35 BRT 2022","Wed Oct 12 03:27:37 BRT 2022","2281","Actions","","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Wed Oct 12 03:30:14 BRT 2022","Wed Oct 12 03:30:18 BRT 2022","3389","Network Requests","","","","","cy.intercept() - route responses to matching requests",""
"passed","Wed Oct 12 03:28:28 BRT 2022","Wed Oct 12 03:28:28 BRT 2022","418","Cookies","","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Wed Oct 12 03:28:40 BRT 2022","Wed Oct 12 03:28:40 BRT 2022","312","Cypress.log","","","","","Control what is printed to the Command Log",""
"passed","Wed Oct 12 03:30:34 BRT 2022","Wed Oct 12 03:30:34 BRT 2022","262","Querying","","","","",".within() - query DOM elements within a specific element",""
"passed","Wed Oct 12 03:31:03 BRT 2022","Wed Oct 12 03:31:04 BRT 2022","272","Traversal","","","","",".nextAll() - get all next sibling DOM elements",""
"passed","Wed Oct 12 03:29:13 BRT 2022","Wed Oct 12 03:29:14 BRT 2022","162","Location","","","","","cy.url() - get the current URL",""
"passed","Wed Oct 12 03:28:28 BRT 2022","Wed Oct 12 03:28:28 BRT 2022","384","Cookies","","","","","cy.clearCookies() - clear browser cookies",""
"passed","Wed Oct 12 03:30:34 BRT 2022","Wed Oct 12 03:30:34 BRT 2022","278","Querying","","","","","cy.root() - query the root DOM element",""
"passed","Wed Oct 12 03:28:39 BRT 2022","Wed Oct 12 03:28:40 BRT 2022","259","Cypress.dom","","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Wed Oct 12 03:28:41 BRT 2022","Wed Oct 12 03:28:42 BRT 2022","503","Cypress.spec","","","","","Get current spec information",""
"passed","Wed Oct 12 03:31:05 BRT 2022","Wed Oct 12 03:31:05 BRT 2022","259","Traversal","","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Wed Oct 12 03:31:25 BRT 2022","Wed Oct 12 03:31:26 BRT 2022","1428","Utilities","","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Wed Oct 12 03:27:29 BRT 2022","Wed Oct 12 03:27:31 BRT 2022","2451","Actions","","","","",".uncheck() - uncheck a checkbox element",""
"passed","Wed Oct 12 03:28:04 BRT 2022","Wed Oct 12 03:28:04 BRT 2022","218","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Wed Oct 12 03:28:49 BRT 2022","Wed Oct 12 03:28:50 BRT 2022","1153","Files","","","","","cy.fixture() - load a fixture",""
"passed","Wed Oct 12 03:28:40 BRT 2022","Wed Oct 12 03:28:41 BRT 2022","621","Cypress.platform","","","","","Get underlying OS name",""
"passed","Wed Oct 12 03:28:15 BRT 2022","Wed Oct 12 03:28:15 BRT 2022","284","Connectors","","","","",".invoke() - invoke a function on the current subject",""
"passed","Wed Oct 12 03:28:16 BRT 2022","Wed Oct 12 03:28:16 BRT 2022","200","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Wed Oct 12 03:31:01 BRT 2022","Wed Oct 12 03:31:01 BRT 2022","280","Traversal","","","","",".closest() - get closest ancestor DOM element",""
"passed","Wed Oct 12 03:27:13 BRT 2022","Wed Oct 12 03:27:15 BRT 2022","1235","Actions","","","","",".blur() - blur off a DOM element",""
"passed","Wed Oct 12 03:29:23 BRT 2022","Wed Oct 12 03:29:24 BRT 2022","955","Misc","","","","",".end() - end the command chain",""
"passed","Wed Oct 12 03:30:06 BRT 2022","Wed Oct 12 03:30:09 BRT 2022","2883","Network Requests","","","","","cy.request() - make an XHR request",""
"passed","Wed Oct 12 03:28:41 BRT 2022","Wed Oct 12 03:28:41 BRT 2022","284","Cypress.version","","","","","Get current version of Cypress being run",""
"passed","Wed Oct 12 03:28:38 BRT 2022","Wed Oct 12 03:28:38 BRT 2022","262","Cypress.Cookies","","","","",".debug() - enable or disable debugging",""
"passed","Wed Oct 12 03:28:03 BRT 2022","Wed Oct 12 03:28:03 BRT 2022","451","Assertions","Explicit Assertions","","","","can throw any error",""
